"Team";"salary_mean";"salary_sd";"per_mean";"per_median";"age_mean";"age_sd";"salary5_sum";"salary5_mean";"salary610_sum";"salary610_mean";"Time";"conf";"posicao"
"ATL";3.81417113333333;3.52714473189938;13.25;13.4;26.3571428571429;4.12510406129149;39.903521;7.9807042;12.209121;2.4418242;"Atlanta Hawks";"E";4
"BOS";2.90917247619048;2.76285015345331;12.0888888888889;12.95;25.1666666666667;3.01467001413383;35.935472;7.1870944;13.673948;2.7347896;"Boston Celtics";"E";16
"BRK";5.74209325;7.39886226675817;13.9583333333333;13.9;26.75;3.67114052131933;74.365188;14.8730376;13.53702;2.707404;"Brooklyn Nets";"E";16
"CHI";5.0777640625;5.49696921814781;13.65;13.2;28.8333333333333;4.60895044911792;59.740875;11.948175;15.647943;3.1295886;"Chicago Bulls";"E";8
"CHO";4.46474235294118;3.56823572337081;13.8428571428571;13.35;25.6428571428571;4.30754513092377;45.054667;9.0109334;19.943009;3.9886018;"Charlotte Hornets";"E";22
"CLE";6.38821108333333;6.25752155047163;17.1181818181818;15.4;27;4.6690470119715;59.654787;11.9309574;15.302385;3.060477;"Cleveland Cavaliers";"E";2
"DAL";4.38144889473684;5.08101637303759;13.8214285714286;13.45;27.6428571428571;3.97312399576382;58.542461;11.7084922;18.234992;3.6469984;"Dallas Mavericks";"W";16
"DEN";3.12545233333333;3.42293113693191;12.65;12.85;25.6666666666667;3.20037876546265;38.047168;7.6094336;11.669728;2.3339456;"Denver Nuggets";"W";24
"DET";4.44203373333333;3.75864854249304;13.2461538461538;13.8;26.1538461538462;4.01758953117733;43.607865;8.721573;17.620774;3.5241548;"Detroit Pistons";"E";24
"GSW";3.87492915789474;4.94828419262333;12.1307692307692;13.7;26.0769230769231;3.45112393435188;56.20873;11.241746;12.377475;2.475495;"Golden State Warriors";"W";1
"HOU";4.32881938888889;5.68224137478165;14.9090909090909;13.4;27.7272727272727;4.38385467575989;57.135517;11.4271034;14.268061;2.8536122;"Houston Rockets";"W";4
"IND";5.02184464285714;5.44171904896719;14.075;13.75;26.6666666666667;2.93360880249235;55.029618;11.0059236;11.772545;2.354509;"Indiana Pacers";"E";18
"LAC";4.67754235294118;6.13410419466971;15.7307692307692;15.3;27.2307692307692;4.04462289453224;61.216799;12.2433598;14.66658;2.933316;"Los Angeles Clippers";"W";8
"LAL";3.98026441176471;5.97986057751184;12.5692307692308;12.2;27;5.01663898109747;55.570066;11.1140132;8.109553;1.6219106;"Los Angeles Lakers";"W";28
"MEM";4.42758776470588;5.27002128550965;15.2333333333333;15.95;28;4.39007144278169;56.118904;11.2237808;15.164562;3.0329124;"Memphis Grizzlies";"W";8
"MIA";5.1263486875;5.84183566974993;16.5222222222222;17;30;3.278719262151;59.458861;11.8917722;19.374103;3.8748206;"Miami Heat";"E";20
"MIL";3.06678335;2.91140865407516;12.9066666666667;12.5;25.5333333333333;3.83343685160433;35.81056;7.162112;16.03736;3.207472;"Milwaukee Bucks";"E";16
"MIN";4.0379638125;3.77131978914307;12.4538461538462;13.1;25.6153846153846;4.51918985251526;41.96706;8.393412;17.348486;3.4696972;"Minnesota Timberwolves";"W";30
"NOP";4.03882341176471;4.68237994805225;14.2625;14.3;24.375;1.70782512765993;52.433079;10.4866158;12.753682;2.5507364;"New Orleans Pelicans";"W";16
"NYK";4.36453205263158;7.14039972870898;12.8833333333333;12.55;25.5833333333333;3.75277674973257;68.333461;13.6666922;10.552936;2.1105872;"New York Knicks";"E";30
"OKC";4.924477;5.61984169381194;15.2;13.65;24.5714285714286;3.73577889549742;56.82136;11.364272;14.089949;2.8179898;"Oklahoma City Thunder";"W";18
"ORL";2.66692315;2.12797738982706;11.6875;11.05;25.5625;4.50138867462031;28.245716;5.6491432;14.084694;2.8169388;"Orlando Magic";"E";26
"PHI";2.05599961538462;2.52084381851633;11.5533333333333;11.7;24.6;3.5213633723318;30.339701;6.0679402;13.248075;2.649615;"Philadelphia 76ers";"E";28
"PHO";3.16454304761905;3.12412463525458;14.3222222222222;14.05;25.2777777777778;3.8010146564175;38.766413;7.7532826;16.636297;3.3272594;"Phoenix Suns";"W";20
"POR";5.7606358125;5.52785869406463;13.3133333333333;12.1;25.9333333333333;3.43233919957693;62.084466;12.4168932;20.42916;4.085832;"Portland Trail Blazers";"W";16
"SAC";4.27320329411765;5.22776645122684;13.8916666666667;12.4;26.75;4.93825512062344;51.887479;10.3774958;16.963437;3.3926874;"Sacramento Kings";"W";26
"SAS";4.09203429411765;3.75991347555371;15.6266666666667;15;28.2666666666667;4.54291704063537;46.25;9.25;15.711914;3.1423828;"San Antonio Spurs";"W";16
"TOR";4.44484494117647;3.27765699323086;14.5384615384615;14.2;25.7692307692308;2.52170068782446;41.15;8.23;24.244671;4.8489342;"Toronto Raptors";"E";16
"UTA";2.9456353;4.3742333211018;13.81;14.15;23.6;2.59058123036339;45.848675;9.169735;9.795547;1.9591094;"Utah Jazz";"W";22
"WAS";5.42799313333333;4.37329157488186;14.2466666666667;16.6;26.6666666666667;4.60848079502294;52.033871;10.4067742;22.479452;4.4958904;"Washington Wizards";"E";8
